,Type,Ort
15646,explosion,"3 km SW of Kapowsin, Washington"
15649,explosion,"13 km NNE of Sprague, Washington"
16017,explosion,"6 km SW of Princeton, Canada"
16076,explosion,"6 km SE of Princeton, Canada"
16436,explosion,"15 km N of Two Rivers, Alaska"
16439,explosion,"11 km SE of Princeton, Canada"
16805,explosion,"11 km ENE of Fox, Alaska"
16879,explosion,"2 km WSW of Eatonville, Washington"
16889,explosion,"16 km N of Umatilla, Oregon"
17188,explosion,"21 km E of Morton, Washington"
17194,explosion,"7 km N of Langford, Canada"
17209,explosion,"1 km N of Langford, Canada"
17310,explosion,"3 km ENE of Swede Heaven, Washington"
17626,explosion,"9 km NNE of Sunnyslope, Washington"
17654,explosion,"15 km N of Two Rivers, Alaska"
17695,explosion,"7 km N of Hamilton, Washington"
18039,explosion,"2 km W of Langford, Canada"
18050,explosion,"15 km E of Fox, Alaska"
18471,explosion,"10 km ENE of Fox, Alaska"
18474,explosion,"2 km SW of Drain, Oregon"
18523,explosion,"9 km SE of Molalla, Oregon"
18927,explosion,"12 km E of Fox, Alaska"
18962,explosion,"5 km S of Princeton, Canada"
19411,explosion,"11 km S of Princeton, Canada"
19527,explosion,"14 km NNW of Two Rivers, Alaska"
19792,explosion,"4 km N of Waterloo, Oregon"
19817,explosion,"1 km W of Sweet Home, Oregon"
20155,explosion,"13 km ENE of Fox, Alaska"
20178,explosion,"12 km NW of Langford, Canada"
20209,explosion,"2 km ESE of Green, Oregon"
20221,explosion,"12 km W of Greenwater, Washington"
20226,explosion,"16 km WNW of Chilliwack, Canada"
20231,explosion,"5 km SW of Metchosin, Canada"
20241,explosion,"8 km E of Mission, Canada"
20260,explosion,"11 km WSW of Three Rivers, Oregon"
20604,explosion,"12 km ENE of Fox, Alaska"
20639,explosion,"13 km SSW of Princeton, Canada"
20742,explosion,"17 km NNW of Two Rivers, Alaska"
21021,explosion,"2 km N of Langford, Canada"
21029,explosion,"12 km E of Fox, Alaska"
21092,explosion,"3 km ENE of Swede Heaven, Washington"
21118,explosion,"10 km NNE of Sunnyslope, Washington"
21425,explosion,"15 km E of Fox, Alaska"
21458,explosion,"8 km S of Princeton, Canada"
21504,explosion,"4 km N of Highland, Washington"
21511,explosion,"0 km E of Kapowsin, Washington"
21561,explosion,"13 km SSW of Princeton, Canada"
21890,explosion,"12 km ENE of Fox, Alaska"
22275,explosion,"11 km E of Fox, Alaska"
22364,explosion,"13 km ENE of Fox, Alaska"
22605,explosion,"2 km NE of Whitestone, Alaska"
22633,explosion,"10 km WSW of Chilliwack, Canada"
22645,explosion,"5 km SSE of Princeton, Canada"
22647,explosion,"16 km N of Two Rivers, Alaska"
22725,explosion,"9 km SSW of Ellensburg, Washington"
23078,explosion,"13 km ENE of Fox, Alaska"
23146,explosion,"15 km NNW of Unity, Oregon"
23209,explosion,"5 km WNW of Mount Hood Village, Oregon"
23563,explosion,"3 km ENE of Lewisville, Washington"
23569,explosion,"15 km ENE of Fox, Alaska"
23618,explosion,"6 km E of Princeton, Canada"
23959,explosion,"17 km E of Ferry, Alaska"
24017,explosion,"3 km W of Thorp, Washington"
24352,explosion,"10 km ENE of Fox, Alaska"
24402,explosion,"2 km NNE of Yakima, Washington"
24426,explosion,"10 km NNW of Adair Village, Oregon"
24447,explosion,"19 km E of Morton, Washington"
24807,explosion,"3 km ESE of Princeton, Canada"
24811,explosion,"15 km NNW of Two Rivers, Alaska"
25130,explosion,"11 km ENE of Fox, Alaska"
25174,explosion,"8 km SSE of Princeton, Canada"
25543,explosion,"13 km SE of Kapowsin, Washington"
25582,explosion,"12 km ENE of Mission, Canada"
25609,explosion,"6 km WNW of Gorst, Washington"
25638,explosion,"12 km W of Greenwater, Washington"
25985,explosion,"11 km S of Princeton, Canada"
26335,explosion,"16 km NNW of Two Rivers, Alaska"
26657,explosion,"12 km ENE of Fox, Alaska"
26684,explosion,"6 km S of Princeton, Canada"
26736,explosion,"6 km S of Princeton, Canada"
27021,explosion,"13 km ENE of Fox, Alaska"
27047,explosion,"12 km WSW of Chilliwack, Canada"
27050,explosion,"21 km WSW of Vernonia, Oregon"
27447,explosion,"13 km NNW of Two Rivers, Alaska"
27457,explosion,"13 km S of Princeton, Canada"
27475,explosion,"9 km ENE of Abbotsford, Canada"
27848,explosion,"10 km ENE of Fox, Alaska"
27862,explosion,"30 km SE of Cascadia, Oregon"
27871,explosion,"2 km NW of Carson, Washington"
27899,explosion,"10 km NNE of Sprague, Washington"
28259,explosion,"6 km NNW of Six Mile, Canada"
28314,explosion,"11 km ESE of Enumclaw, Washington"
28315,explosion,"4 km NNW of Metchosin, Canada"
28336,explosion,"5 km SSW of Shady Cove, Oregon"
28678,explosion,"11 km ENE of Fox, Alaska"
28682,explosion,"3 km WSW of Yacolt, Washington"
28721,explosion,"17 km SSW of Veneta, Oregon"
28786,explosion,"5 km E of The Dalles, Oregon"
29094,explosion,"12 km S of Princeton, Canada"
29109,explosion,"14 km ENE of Fox, Alaska"
29445,explosion,"13 km E of Fox, Alaska"
29468,explosion,"8 km S of Princeton, Canada"
29798,explosion,"11 km ENE of Fox, Alaska"
29809,explosion,"2 km NE of Kapowsin, Washington"
29827,explosion,"6 km S of Princeton, Canada"
29851,explosion,"6 km WNW of Gorst, Washington"
29860,explosion,"8 km N of Lake Cavanaugh, Washington"
29882,explosion,"4 km SW of Cathlamet, Washington"
30128,explosion,"12 km W of Highland, Washington"
30133,explosion,"6 km NW of Roseburg North, Oregon"
30240,explosion,"14 km E of Fox, Alaska"
30249,explosion,"16 km NNW of Two Rivers, Alaska"
30532,explosion,"11 km ENE of Abbotsford, Canada"
30959,explosion,"8 km WSW of Glide, Oregon"
30973,explosion,Central Alaska
30980,explosion,"5 km SE of Bend, Oregon"
31021,explosion,"8 km E of Mission, Canada"
31028,explosion,"3 km W of Winlock, Washington"
31036,explosion,"13 km ESE of Toledo, Washington"
31051,explosion,"15 km E of Castle Rock, Washington"
31063,explosion,"16 km NNE of Sprague, Washington"
31119,explosion,"12 km ENE of Fox, Alaska"
31432,explosion,"4 km SE of Enumclaw, Washington"
31461,explosion,"15 km SE of Glide, Oregon"
31472,explosion,"1 km SSW of Princeton, Canada"
31797,explosion,northern Alaska
32128,explosion,"12 km ENE of Fox, Alaska"
32161,explosion,"11 km S of Princeton, Canada"
32510,explosion,"6 km W of Highland, Washington"
32522,explosion,"13 km ENE of Fox, Alaska"
32526,explosion,"7 km NNW of Six Mile, Canada"
32576,explosion,"5 km NW of Winlock, Washington"
32996,explosion,"9 km S of Princeton, Canada"
33097,explosion,"9 km E of Fox, Alaska"
33378,explosion,"5 km E of Medford, Oregon"
33403,explosion,"5 km WSW of Kapowsin, Washington"
33407,explosion,"2 km NW of Metchosin, Canada"
33443,explosion,"3 km N of Metchosin, Canada"
33467,explosion,"2 km SSE of Powers, Oregon"
33789,explosion,"14 km ENE of Fox, Alaska"
33819,explosion,"4 km WSW of Princeton, Canada"
