Player,KEN
Michael Jordan,42.05223880597015
LeBron James,40.780380673499266
Kareem Abdul-Jabbar,40.582692307692305
Luka Doncic,40.26136363636363
Larry Bird,40.08361204013378
Joel Embiid,39.832317073170735
Anthony Davis,38.11920529801324
Karl Malone,37.83875338753388
Kevin Durant,37.59211927582535
Hakeem Olajuwon,37.218901453958
